,module,param,comp,size,shape,prunable
87,bert_model.encoder.layer.5.attention.self.key,weight,1.5969200029240478,589824,"(768, 768)",True
88,bert_model.encoder.layer.5.attention.self.key,bias,383.99998855590854,768,"(768,)",True
89,bert_model.encoder.layer.5.attention.self.value,weight,1.8672584120149414,589824,"(768, 768)",True
90,bert_model.encoder.layer.5.attention.self.value,bias,2.6574393762122717,768,"(768,)",True
91,bert_model.encoder.layer.5.attention.output.dense,weight,1.9591186239987481,589824,"(768, 768)",True
92,bert_model.encoder.layer.5.attention.output.dense,bias,2.0,768,"(768,)",True
93,bert_model.encoder.layer.5.attention.output.LayerNorm,weight,1.0,768,"(768,)",False
94,bert_model.encoder.layer.5.attention.output.LayerNorm,bias,1.0,768,"(768,)",False
95,bert_model.encoder.layer.5.intermediate.dense,weight,1.6706267821814318,2359296,"(3072, 768)",True
96,bert_model.encoder.layer.5.intermediate.dense,bias,1.0703832524979062,3072,"(3072,)",True
97,bert_model.encoder.layer.5.output.dense,weight,1.7563250494244673,2359296,"(768, 3072)",True
98,bert_model.encoder.layer.5.output.dense,bias,1.5390782033756907,768,"(768,)",True
99,bert_model.encoder.layer.5.output.LayerNorm,weight,1.0,768,"(768,)",False
100,bert_model.encoder.layer.5.output.LayerNorm,bias,1.0,768,"(768,)",False
101,bert_model.encoder.layer.6.attention.self.query,weight,1.5971577678729525,589824,"(768, 768)",True
102,bert_model.encoder.layer.6.attention.self.query,bias,1.2268370307986463,768,"(768,)",True
103,bert_model.encoder.layer.6.attention.self.key,weight,1.5994013166267624,589824,"(768, 768)",True
104,bert_model.encoder.layer.6.attention.self.key,bias,383.99998855590854,768,"(768,)",True
105,bert_model.encoder.layer.6.attention.self.value,weight,1.9032535267365844,589824,"(768, 768)",True
106,bert_model.encoder.layer.6.attention.self.value,bias,2.341463360170891,768,"(768,)",True
107,bert_model.encoder.layer.6.attention.output.dense,weight,2.0089988867245525,589824,"(768, 768)",True
108,bert_model.encoder.layer.6.attention.output.dense,bias,1.7902097902097902,768,"(768,)",True
109,bert_model.encoder.layer.6.attention.output.LayerNorm,weight,1.0,768,"(768,)",False
110,bert_model.encoder.layer.6.attention.output.LayerNorm,bias,1.0,768,"(768,)",False
111,bert_model.encoder.layer.6.intermediate.dense,weight,1.663170850859996,2359296,"(3072, 768)",True
112,bert_model.encoder.layer.6.intermediate.dense,bias,1.0813093980992607,3072,"(3072,)",True
113,bert_model.encoder.layer.6.output.dense,weight,1.7610365934431123,2359296,"(768, 3072)",True
114,bert_model.encoder.layer.6.output.dense,bias,1.3195876288659794,768,"(768,)",True
115,bert_model.encoder.layer.6.output.LayerNorm,weight,1.0,768,"(768,)",False
116,bert_model.encoder.layer.6.output.LayerNorm,bias,1.0,768,"(768,)",False
117,bert_model.encoder.layer.7.attention.self.query,weight,1.58977930144801,589824,"(768, 768)",True
118,bert_model.encoder.layer.7.attention.self.query,bias,1.2113564960312828,768,"(768,)",True
119,bert_model.encoder.layer.7.attention.self.key,weight,1.5861837300317336,589824,"(768, 768)",True
120,bert_model.encoder.layer.7.attention.self.key,bias,767.9999771118171,768,"(768,)",True
